"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date"
"1","HAPPY BIRTHDAY Jackson
#KingJacksonDay https://t.co/Ge5ULF86Eh",FALSE,89908,NA,2018-03-27 15:00:09,FALSE,NA,"978647872907329536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GOT7Official",66905,FALSE,FALSE,NA,NA,2018-03-27
"2","HAPPY BIRTHDAY #LISA <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>

#BLACKPINK #<U+BE14><U+B799><U+D551><U+D06C>
#2018_03_27 #HBD #<U+B9AC><U+C0AC> https://t.co/VxLlIzJpFp",FALSE,74499,NA,2018-03-26 15:00:01,FALSE,NA,"978285448517713920",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","ygent_official",50572,FALSE,FALSE,NA,NA,2018-03-26
"3","Trade talks going on with numerous countries that, for many years, have not treated the United States fairly. In the end, all will be happy!",FALSE,89542,NA,2018-03-27 00:44:52,FALSE,NA,"978432632273948674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18621,FALSE,FALSE,NA,NA,2018-03-27
"4","HAPPY BIRTHDAY Jackson 
#KingJacksonDay https://t.co/zoUwRMJy0N",FALSE,31239,NA,2018-03-27 15:00:03,FALSE,NA,"978647843886911489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jypnation",21917,FALSE,FALSE,NA,NA,2018-03-27
"5","This mans an absolute legend! @CraigDavid hops on a random bus in London today and starts performing. Look how happ… https://t.co/8w4RNrRa1y",FALSE,14318,NA,2018-03-27 15:56:57,TRUE,NA,"978662163291295745",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","NathanDawe",5939,FALSE,FALSE,NA,NA,2018-03-27
"6","This girl was a victim of the shooting, is still recovering from bullet wounds inflicted by an AR-15, and SHE ! KEP… https://t.co/PXXTsn65tk",FALSE,70557,NA,2018-03-26 18:44:37,TRUE,NA,"978341971709358080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Emma4Change",12171,FALSE,FALSE,NA,NA,2018-03-26
"7","Happy Birthday Lisa !!  <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> <ed><U+00A0><U+00BC><ed><U+00BE><U+0082> <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #HappyLisaDay #BrightestStarLisaDay @ygofficialblink https://t.co/rWyuqr4aLm",FALSE,16096,NA,2018-03-26 15:01:12,FALSE,NA,"978285747437494272",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Koreaboo",8820,FALSE,FALSE,NA,NA,2018-03-26
"8","Happy Spring Break, Everybody. https://t.co/xoNUrlZwMr",FALSE,91099,NA,2018-03-27 16:09:25,FALSE,NA,"978665301050085376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheEllenShow",3245,FALSE,FALSE,NA,NA,2018-03-27
"9","Happy birthday Dad, merci for watching over me and my brothers <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>@equipedefrance great win team! https://t.co/VRHPMI7PPp",FALSE,34281,NA,2018-03-27 19:09:58,FALSE,NA,"978710739077787654",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulpogba",8505,FALSE,FALSE,NA,NA,2018-03-27
"10","HAPPY #AirMaxDay!!! Which ones will I wear today <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2642><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",FALSE,20856,NA,2018-03-26 15:11:24,FALSE,NA,"978288314590617600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingJames",2754,FALSE,FALSE,NA,NA,2018-03-26
"11","Happy Ten Year Twitter Anniversary! It’s been willlllld ride <ed><U+00A0><U+00BE><ed><U+00B7><U+009A><U+200D><U+2640><U+FE0F> https://t.co/wljWKdXkwH",FALSE,25338,NA,2018-03-26 19:29:29,FALSE,NA,"978353261454409729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ladygaga",5607,FALSE,FALSE,NA,NA,2018-03-26
"12","So happy and proud of my brother... Great having you back!!! The future is bright #TheProcess https://t.co/O9ch4cvy3e",FALSE,33607,NA,2018-03-27 02:46:45,FALSE,NA,"978463303495307265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",4823,FALSE,FALSE,NA,NA,2018-03-27
"13","Happy Birthday to #GOT7's Jackson! #HappyJacksonDay! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> Catch up with him: https://t.co/Xh8iPEVZXk https://t.co/KBGJL0dqSx",FALSE,14896,NA,2018-03-27 15:00:05,FALSE,NA,"978647852506337280",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","soompi",9602,FALSE,FALSE,NA,NA,2018-03-27
"14","Happy Birthday to #BLACKPINK's Lisa! #HappyLisaDay! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> Catch up with her: https://t.co/cZ2lkjxhIB https://t.co/MpiCd3wA8d",FALSE,11607,NA,2018-03-26 15:00:00,FALSE,NA,"978285447280340992",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","soompi",6996,FALSE,FALSE,NA,NA,2018-03-26
"15","Happy Birthday Jackson !! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BC><ed><U+00BD><U+00B0> <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> #HappyJacksonDay  #KINGJACKSONDAY @GOT7Official https://t.co/yQd3HSI6mW",FALSE,12397,NA,2018-03-27 15:00:25,FALSE,NA,"978647938581827584",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Koreaboo",7608,FALSE,FALSE,NA,NA,2018-03-27
"16","Make sure to wish #XIUMIN of @weareoneEXO a Happy Birthday <U+2728> We hope you are being showered with all the love and g… https://t.co/rWyHxu4yAR",FALSE,7003,NA,2018-03-26 09:08:57,TRUE,NA,"978197102365876225",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PULPLiveWorld",6157,FALSE,FALSE,NA,NA,2018-03-26
"17","Happy Birthday Xiumin !! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> <ed><U+00A0><U+00BC><ed><U+00BE><U+0082> <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>#HappyXiuminDay @weareoneEXO https://t.co/PDIq9Fl10z",FALSE,8254,NA,2018-03-26 07:49:51,FALSE,NA,"978177194903162880",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Koreaboo",4483,FALSE,FALSE,NA,NA,2018-03-26
