"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date"
"1","RT @allidelaney_: Happy birthday @skemp726 <ed><U+00A0><U+00BD><ed><U+00B2><U+0093><ed><U+00A0><U+00BD><ed><U+00B2><U+0093> https://t.co/EyAlDJ6wlF",FALSE,0,NA,2018-03-24 23:59:59,FALSE,NA,"977696562414538752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skemp726",1,TRUE,FALSE,NA,NA,2018-03-24
"2","RT @KhadiDon: Happy #NationalPuppyDay to my son Bark Vader https://t.co/JBW4jpxj6k",FALSE,0,NA,2018-03-24 23:59:59,FALSE,NA,"977696561697382401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaaaydoubleu",4794,TRUE,FALSE,NA,NA,2018-03-24
"3","RT @Rafisodope: So wait wait wait... a man... wasn’t happy in a relationship... and rather that cheat or do her dirty... he was honest and…",FALSE,0,NA,2018-03-24 23:59:59,FALSE,NA,"977696560426504192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jess_910h",107738,TRUE,FALSE,NA,NA,2018-03-24
"4","RT @Rafisodope: So wait wait wait... a man... wasn’t happy in a relationship... and rather that cheat or do her dirty... he was honest and…",FALSE,0,NA,2018-03-24 23:59:59,FALSE,NA,"977696560141275141",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keemoebeats",107738,TRUE,FALSE,NA,NA,2018-03-24
"5","RT @Acha_JKT48: Happy Graduation kakakkuu <U+2764><U+FE0F><U+2764><U+FE0F> selamat ulang tahun jugaa ciee 26 tahun beda 8 tahunann ya wkwk *upss  We Love You Teteh sem…",FALSE,0,NA,2018-03-24 23:59:59,FALSE,NA,"977696559713288192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anitaardd_",244,TRUE,FALSE,NA,NA,2018-03-24
"6","RT @PappaMthembu: @Phakishi2 Good job. 
No I mean great work you are truly blessed. 
Your mother must be happy <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>. 
We all just want to do g…",FALSE,0,NA,2018-03-24 23:59:59,FALSE,NA,"977696558941659136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kev_Heightz",1,TRUE,FALSE,NA,NA,2018-03-24
"7","RT @ramblingsloa 
Let us be grateful to the people who make us happy
They are the charming gardeners who make our s… https://t.co/8WcSjRCdCn",FALSE,181,NA,2018-03-24 23:59:58,TRUE,NA,"977696558148808704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HAL909",54,FALSE,FALSE,NA,NA,2018-03-24
"8","RT @kinarishokudo: <U+304A><U+306F><U+3088><U+3046><U+3055><U+3093><U+3067><U+3059>!<U+672C><U+65E5><U+304D><U+306A><U+308A><U+98DF><U+5802><U+306F><U+5B9A><U+4F11><U+65E5><U+3068><U+306A><U+308A><U+307E><U+3059>(^^)/<U+5317><U+898B><U+306F><U+26C5><U+4ECA><U+306E><U+6C17><U+6E29>4<U+2103><U+2600><U+304C><U+51FA><U+3066><U+304D><U+305F><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><U+3042><U+3063><U+305F><U+304B><U+304F><U+306A><U+308B><U+304B><U+306A><U+2754><U+5348><U+524D><U+4E2D><U+306F><U+30CA><U+30F3><U+30C0><U+30AB><U+30F3><U+30C0><U+3068><U+614C><U+305F><U+3060><U+3057><U+3044><ed><U+00A0><U+00BD><ed><U+00B8><U+0085><U+6642><U+9593><U+306B><U+4F59><U+88D5><U+304C><U+306A><U+3044><U+3088><U+3046><U+306A>···<ed><U+00A0><U+00BD><ed><U+00B2><U+00A7><U+3067><U+306F><U+3001><U+3069><U+3061><U+3089><U+69D8><U+3082>HAPPY<U+306A>1<U+65E5>~<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> https://t.co…",FALSE,0,NA,2018-03-24 23:59:58,FALSE,NA,"977696557892956160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shiogoyagyoza",11,TRUE,FALSE,NA,NA,2018-03-24
"9","RT @dj_kert18: • Hindi naman kasi dahil mahal mo, ipaglalaban mo na hanggang dulo. If he/she is not happy with you, you can let go of him/h…",FALSE,0,NA,2018-03-24 23:59:58,FALSE,NA,"977696557838422017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gorgyannaa",5,TRUE,FALSE,NA,NA,2018-03-24
"10","RT @batmaaaannnn: @WallyAction A man that recognizes! Happy Saturday sir!",FALSE,0,NA,2018-03-24 23:59:58,FALSE,NA,"977696557385506816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WallyAction",1,TRUE,FALSE,NA,NA,2018-03-24
"11","RT @martianghost: @shira_ou Happy birthdayy!",FALSE,0,NA,2018-03-24 23:59:58,FALSE,NA,"977696557125390341",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shira_ou",1,TRUE,FALSE,NA,NA,2018-03-24
"12","RT @Jessicacolleenn: @GratefuI_Ed @sandyballz3 @schmxnderz @alyseesyla to get rich??? you obviously know absolutely nothing about the edm c…",FALSE,0,NA,2018-03-24 23:59:58,FALSE,NA,"977696556643008512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zsharpRULER",2,TRUE,FALSE,NA,NA,2018-03-24
"13","RT @colleenhugss: #HelpParkerFindZendaya @Zendaya Pleaseee go find Parker!! Message @BallingerMom so his dream can come true pleaseeee!! To…",FALSE,0,NA,2018-03-24 23:59:58,FALSE,NA,"977696556227989504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AsleepEverytime",3,TRUE,FALSE,NA,NA,2018-03-24
"14","RT @Fluffyumin: Can we talk about how happy and proud Minseok was when he finally sang with the main vocals for the first time and how exci…",FALSE,0,NA,2018-03-24 23:59:58,FALSE,NA,"977696556186030081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wickedluhan",584,TRUE,FALSE,NA,NA,2018-03-24
