"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x988037292932653056",2018-04-22 12:50:22,"x25073877","realDonaldTrump","Sleepy Eyes Chuck Todd of Fake News NBC just stated that we have given up so much in our negotiations with North Korea, and they have given up nothing. Wow, we haven’t given up anything &amp; they have agreed to denuclearization (so great for World), site closure, &amp; no more testing!","Twitter for iPhone",,,,FALSE,FALSE,72067,19441,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988069945761193984",2018-04-22 15:00:07,"x3129056526","JYPETWICE","Happy Birthday CHAEYOUNG

#HappyCHAEYOUNGday https://t.co/3YQOgUhbuz","Twitter Web Client",,,,FALSE,FALSE,51147,28568,"HappyCHAEYOUNGday",,,,,"http://pbs.twimg.com/media/DbZT91WU0AAo5Xs.jpg","https://t.co/3YQOgUhbuz","https://twitter.com/JYPETWICE/status/988069945761193984/photo/1","photo","http://pbs.twimg.com/media/DbZT91WU0AAo5Xs.jpg","https://t.co/3YQOgUhbuz","https://twitter.com/JYPETWICE/status/988069945761193984/photo/1",,,,"en",,,,,,,,,,,,,
"x987704734399188992",2018-04-21 14:48:54,"x169686021","kanyewest","live in love not in fear","Twitter for iPhone",,,,FALSE,FALSE,137671,57891,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988057678982283264",2018-04-22 14:11:22,"x34743251","SpaceX","Happy #EarthDay https://t.co/wrkH8zKAK3","Twitter for iPhone",,,,FALSE,FALSE,56740,14541,"EarthDay",,,,,"http://pbs.twimg.com/media/DbZJN2-UwAA53fT.jpg","https://t.co/wrkH8zKAK3","https://twitter.com/SpaceX/status/988057678982283264/photo/1","photo","http://pbs.twimg.com/media/DbZJN2-UwAA53fT.jpg","https://t.co/wrkH8zKAK3","https://twitter.com/SpaceX/status/988057678982283264/photo/1",,,,"en",,,,,,,,,,,,,
"x987768453338673152",2018-04-21 19:02:05,"x25073877","realDonaldTrump","Sylvester Stallone called me with the story of heavyweight boxing champion Jack Johnson. His trials and tribulations were great, his life complex and controversial. Others have looked at this over the years, most thought it would be done, but yes, I am considering a Full Pardon!","Twitter for iPhone",,,,FALSE,FALSE,86760,19070,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x987699874362675201",2018-04-21 14:29:35,"x169686021","kanyewest","I don't subscribe the term and concept of God fearing.  That's a dated mentality that was used to control people. We are in the future. If God is love and love it's the opposite of fear then...<f0><U+009F><U+00A4><U+0094><f0><U+009F><U+00A4><U+00B7><U+200D><U+2642><U+FE0F> to fear God makes no sense <f0><U+009F><U+00A4><U+00B7><U+200D><U+2642><U+FE0F><f0><U+009F><U+00A4><U+00B7><U+200D><U+2642><U+FE0F><f0><U+009F><U+00A4><U+00B7><U+200D><U+2642><U+FE0F><f0><U+009F><U+00A4><U+00B7><U+200D><U+2642><U+FE0F><f0><U+009F><U+00A4><U+00B7><U+200D><U+2642><U+FE0F>","Twitter for iPhone",,,,FALSE,FALSE,84957,19177,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x987650547376427008",2018-04-21 11:13:34,"x105119490","NiallOfficial","I love seeing this cities I’m in . Makes the whole touring experience so much better . <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083> very happy","Twitter for iPhone",,,,FALSE,FALSE,97150,20388,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x987696355341553665",2018-04-21 14:15:36,"x169686021","kanyewest","I love the way Candace Owens thinks","Twitter for iPhone",,,,FALSE,FALSE,71251,18488,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x987596887753740290",2018-04-21 07:40:21,"x36042554","RoyalFamily","Happy 92nd Birthday to Her Majesty The Queen!
#QueensBirthday #HappyBirthdayHerMajesty https://t.co/6FqHbsJmyN","Twitter for iPhone",,,,FALSE,FALSE,70106,17244,"QueensBirthday HappyBirthdayHerMajesty",,,,,"http://pbs.twimg.com/media/DbSmG1sW4AcBwMM.jpg","https://t.co/6FqHbsJmyN","https://twitter.com/RoyalFamily/status/987596887753740290/photo/1","photo","http://pbs.twimg.com/media/DbSmG1sW4AcBwMM.jpg","https://t.co/6FqHbsJmyN","https://twitter.com/RoyalFamily/status/987596887753740290/photo/1",,,,"en",,,,,,,,,,,,,
"x987768240985296896",2018-04-21 19:01:15,"x755113","ShaunKing","I am told this is the clip that Kanye saw and loved. 

It’s sad actually. For him and for her. 

A market has always and will always exist for men and women like this who say what bigoted white folk love to hear. 

They will always have a seat at somebody’s table. https://t.co/TggV6JtW0I","Twitter for iPhone",,,,TRUE,FALSE,11335,4491,,,"twitter.com/realcandaceo/s…","https://t.co/TggV6JtW0I","https://twitter.com/realcandaceo/status/987450257159077888",,,,,,,,,,,"en","x987450257159077888","Black Lives Matter protesters showed up to my @UCLA event to protest. Here is a video clip of me smacking them down with the truth; they’re a bunch of whiny toddlers, pretending to be oppressed for attention. https://t.co/riBA0A3J1I",,,,,,,,,,,
